Unnamed: 0,X,id,date,time,name,size,type,price,day_of_week
1,1,2015-000001,2015-01-01,11:38:36,hawaiian,M,classic,13.25,Thursday
2,2,2015-000002,2015-01-01,11:57:40,classic_dlx,M,classic,16.0,Thursday
3,3,2015-000002,2015-01-01,11:57:40,mexicana,M,veggie,16.0,Thursday
4,4,2015-000002,2015-01-01,11:57:40,thai_ckn,L,chicken,20.75,Thursday
5,5,2015-000002,2015-01-01,11:57:40,five_cheese,L,veggie,18.5,Thursday
6,6,2015-000002,2015-01-01,11:57:40,ital_supr,L,supreme,20.75,Thursday
7,7,2015-000003,2015-01-01,12:12:28,prsc_argla,L,supreme,20.75,Thursday
8,8,2015-000003,2015-01-01,12:12:28,ital_supr,M,supreme,16.5,Thursday
9,9,2015-000004,2015-01-01,12:16:31,ital_supr,M,supreme,16.5,Thursday
10,10,2015-000005,2015-01-01,12:21:30,ital_supr,M,supreme,16.5,Thursday
11,11,2015-000006,2015-01-01,12:29:36,bbq_ckn,S,chicken,12.75,Thursday
12,12,2015-000006,2015-01-01,12:29:36,the_greek,S,classic,12.0,Thursday
13,13,2015-000007,2015-01-01,12:50:37,spinach_supr,S,supreme,12.5,Thursday
14,14,2015-000008,2015-01-01,12:51:37,spinach_supr,S,supreme,12.5,Thursday
15,15,2015-000009,2015-01-01,12:52:01,ital_supr,L,supreme,20.75,Thursday
16,16,2015-000009,2015-01-01,12:52:01,mexicana,S,veggie,12.0,Thursday
17,17,2015-000009,2015-01-01,12:52:01,spin_pesto,L,veggie,20.75,Thursday
18,18,2015-000009,2015-01-01,12:52:01,spicy_ital,L,supreme,20.75,Thursday
19,19,2015-000009,2015-01-01,12:52:01,ital_cpcllo,L,classic,20.5,Thursday
20,20,2015-000009,2015-01-01,12:52:01,veggie_veg,S,veggie,12.0,Thursday
21,21,2015-000009,2015-01-01,12:52:01,green_garden,S,veggie,12.0,Thursday
22,22,2015-000009,2015-01-01,12:52:01,classic_dlx,S,classic,12.0,Thursday
23,23,2015-000009,2015-01-01,12:52:01,ital_supr,S,supreme,12.5,Thursday
24,24,2015-000010,2015-01-01,13:00:15,mexicana,L,veggie,20.25,Thursday
25,25,2015-000010,2015-01-01,13:00:15,southw_ckn,L,chicken,20.75,Thursday
26,26,2015-000011,2015-01-01,13:02:59,pepperoni,L,classic,15.25,Thursday
27,27,2015-000011,2015-01-01,13:02:59,cali_ckn,L,chicken,20.75,Thursday
28,28,2015-000011,2015-01-01,13:02:59,cali_ckn,M,chicken,16.75,Thursday
29,29,2015-000011,2015-01-01,13:02:59,bbq_ckn,L,chicken,20.75,Thursday
30,30,2015-000012,2015-01-01,13:04:41,cali_ckn,S,chicken,12.75,Thursday
31,31,2015-000012,2015-01-01,13:04:41,ital_supr,M,supreme,16.5,Thursday
32,32,2015-000012,2015-01-01,13:04:41,cali_ckn,L,chicken,20.75,Thursday
33,33,2015-000012,2015-01-01,13:04:41,ckn_pesto,L,chicken,20.75,Thursday
34,34,2015-000013,2015-01-01,13:11:55,mexicana,L,veggie,20.25,Thursday
35,35,2015-000014,2015-01-01,13:14:19,the_greek,S,classic,12.0,Thursday
36,36,2015-000015,2015-01-01,13:33:00,big_meat,S,classic,12.0,Thursday
37,37,2015-000015,2015-01-01,13:33:00,five_cheese,L,veggie,18.5,Thursday
38,38,2015-000015,2015-01-01,13:33:00,soppressata,L,supreme,20.75,Thursday
39,39,2015-000015,2015-01-01,13:33:00,the_greek,S,classic,12.0,Thursday
40,40,2015-000016,2015-01-01,13:34:07,thai_ckn,L,chicken,20.75,Thursday
41,41,2015-000016,2015-01-01,13:34:07,four_cheese,L,veggie,17.95,Thursday
42,42,2015-000016,2015-01-01,13:34:07,napolitana,S,classic,12.0,Thursday
43,43,2015-000017,2015-01-01,13:53:00,mediterraneo,M,veggie,16.0,Thursday
44,44,2015-000017,2015-01-01,13:53:00,bbq_ckn,L,chicken,20.75,Thursday
45,45,2015-000017,2015-01-01,13:53:00,ital_supr,M,supreme,16.5,Thursday
46,46,2015-000017,2015-01-01,13:53:00,mexicana,L,veggie,20.25,Thursday
47,47,2015-000017,2015-01-01,13:53:00,four_cheese,M,veggie,14.75,Thursday
48,48,2015-000017,2015-01-01,13:53:00,spinach_fet,L,veggie,20.25,Thursday
49,49,2015-000017,2015-01-01,13:53:00,mediterraneo,M,veggie,16.0,Thursday
50,50,2015-000017,2015-01-01,13:53:00,five_cheese,L,veggie,18.5,Thursday
51,51,2015-000017,2015-01-01,13:53:00,ital_veggie,S,veggie,12.75,Thursday
52,52,2015-000017,2015-01-01,13:53:00,calabrese,M,supreme,16.25,Thursday
53,53,2015-000017,2015-01-01,13:53:00,peppr_salami,S,supreme,12.5,Thursday
54,54,2015-000018,2015-01-01,13:57:08,napolitana,L,classic,20.5,Thursday
55,55,2015-000019,2015-01-01,13:59:09,sicilian,L,supreme,20.25,Thursday
56,56,2015-000019,2015-01-01,13:59:09,ital_cpcllo,L,classic,20.5,Thursday
57,57,2015-000020,2015-01-01,14:03:08,five_cheese,L,veggie,18.5,Thursday
58,58,2015-000020,2015-01-01,14:03:08,big_meat,S,classic,12.0,Thursday
59,59,2015-000021,2015-01-01,14:14:29,ital_cpcllo,L,classic,20.5,Thursday
60,60,2015-000022,2015-01-01,14:16:26,ital_cpcllo,M,classic,16.0,Thursday
61,61,2015-000022,2015-01-01,14:16:26,southw_ckn,L,chicken,20.75,Thursday
62,62,2015-000022,2015-01-01,14:16:26,five_cheese,L,veggie,18.5,Thursday
63,63,2015-000023,2015-01-01,14:19:03,southw_ckn,S,chicken,12.75,Thursday
64,64,2015-000024,2015-01-01,14:23:01,ital_cpcllo,M,classic,16.0,Thursday
65,65,2015-000024,2015-01-01,14:23:01,pepperoni,M,classic,12.5,Thursday
66,66,2015-000024,2015-01-01,14:23:01,prsc_argla,S,supreme,12.5,Thursday
67,67,2015-000024,2015-01-01,14:23:01,bbq_ckn,M,chicken,16.75,Thursday
68,68,2015-000025,2015-01-01,14:44:44,thai_ckn,L,chicken,20.75,Thursday
69,69,2015-000025,2015-01-01,14:44:44,sicilian,M,supreme,16.25,Thursday
70,70,2015-000026,2015-01-01,14:54:26,classic_dlx,S,classic,12.0,Thursday
71,71,2015-000026,2015-01-01,14:54:26,veggie_veg,L,veggie,20.25,Thursday
72,72,2015-000027,2015-01-01,15:11:17,bbq_ckn,L,chicken,20.75,Thursday
73,73,2015-000027,2015-01-01,15:11:17,spinach_fet,L,veggie,20.25,Thursday
74,74,2015-000027,2015-01-01,15:11:17,classic_dlx,M,classic,16.0,Thursday
75,75,2015-000028,2015-01-01,15:35:46,ckn_alfredo,S,chicken,12.75,Thursday
76,76,2015-000029,2015-01-01,15:41:01,green_garden,S,veggie,12.0,Thursday
77,77,2015-000030,2015-01-01,15:41:25,thai_ckn,L,chicken,20.75,Thursday
78,78,2015-000031,2015-01-01,15:50:18,mexicana,M,veggie,16.0,Thursday
79,79,2015-000031,2015-01-01,15:50:18,pepperoni,S,classic,9.75,Thursday
80,80,2015-000032,2015-01-01,15:53:18,ital_cpcllo,L,classic,20.5,Thursday
81,81,2015-000032,2015-01-01,15:53:18,green_garden,L,veggie,20.25,Thursday
82,82,2015-000032,2015-01-01,15:53:18,big_meat,S,classic,12.0,Thursday
83,83,2015-000032,2015-01-01,15:53:18,ital_supr,M,supreme,16.5,Thursday
84,84,2015-000033,2015-01-01,15:54:08,bbq_ckn,L,chicken,20.75,Thursday
85,85,2015-000033,2015-01-01,15:54:08,green_garden,S,veggie,12.0,Thursday
86,86,2015-000034,2015-01-01,16:21:21,the_greek,S,classic,12.0,Thursday
87,87,2015-000035,2015-01-01,16:32:04,pepperoni,M,classic,12.5,Thursday
88,88,2015-000035,2015-01-01,16:32:04,pep_msh_pep,L,classic,17.5,Thursday
89,89,2015-000035,2015-01-01,16:32:04,thai_ckn,L,chicken,20.75,Thursday
90,90,2015-000035,2015-01-01,16:32:04,green_garden,M,veggie,16.0,Thursday
91,91,2015-000036,2015-01-01,16:54:09,bbq_ckn,M,chicken,16.75,Thursday
92,92,2015-000036,2015-01-01,16:54:09,classic_dlx,M,classic,16.0,Thursday
93,93,2015-000037,2015-01-01,16:56:09,mexicana,L,veggie,20.25,Thursday
94,94,2015-000037,2015-01-01,16:56:09,ital_supr,L,supreme,20.75,Thursday
95,95,2015-000038,2015-01-01,17:03:00,ital_cpcllo,L,classic,20.5,Thursday
96,96,2015-000038,2015-01-01,17:03:00,hawaiian,S,classic,10.5,Thursday
97,97,2015-000039,2015-01-01,17:07:23,ital_supr,L,supreme,20.75,Thursday
98,98,2015-000040,2015-01-01,17:14:36,southw_ckn,S,chicken,12.75,Thursday
99,99,2015-000040,2015-01-01,17:14:36,four_cheese,L,veggie,17.95,Thursday
100,100,2015-000041,2015-01-01,17:15:20,green_garden,S,veggie,12.0,Thursday
101,101,2015-000041,2015-01-01,17:15:20,four_cheese,M,veggie,14.75,Thursday
102,102,2015-000042,2015-01-01,17:28:09,big_meat,S,classic,12.0,Thursday
103,103,2015-000042,2015-01-01,17:28:09,five_cheese,L,veggie,18.5,Thursday
104,104,2015-000042,2015-01-01,17:28:09,peppr_salami,M,supreme,16.5,Thursday
105,105,2015-000042,2015-01-01,17:28:09,mexicana,L,veggie,20.25,Thursday
106,106,2015-000043,2015-01-01,17:38:34,ital_supr,M,supreme,16.5,Thursday
107,107,2015-000043,2015-01-01,17:38:34,peppr_salami,L,supreme,20.75,Thursday
108,108,2015-000043,2015-01-01,17:38:34,ckn_alfredo,M,chicken,16.75,Thursday
109,109,2015-000044,2015-01-01,17:54:20,spin_pesto,S,veggie,12.5,Thursday
110,110,2015-000045,2015-01-01,17:55:48,four_cheese,L,veggie,17.95,Thursday
111,111,2015-000045,2015-01-01,17:55:48,hawaiian,S,classic,10.5,Thursday
112,112,2015-000045,2015-01-01,17:55:48,thai_ckn,M,chicken,16.75,Thursday
113,113,2015-000046,2015-01-01,18:25:51,thai_ckn,M,chicken,16.75,Thursday
114,114,2015-000046,2015-01-01,18:25:51,ckn_pesto,L,chicken,20.75,Thursday
115,115,2015-000046,2015-01-01,18:25:51,classic_dlx,L,classic,20.5,Thursday
116,116,2015-000047,2015-01-01,18:26:34,veggie_veg,S,veggie,12.0,Thursday
117,117,2015-000047,2015-01-01,18:26:34,southw_ckn,L,chicken,20.75,Thursday
118,118,2015-000048,2015-01-01,18:26:42,prsc_argla,L,supreme,20.75,Thursday
119,119,2015-000048,2015-01-01,18:26:42,spicy_ital,L,supreme,20.75,Thursday
120,120,2015-000048,2015-01-01,18:26:42,green_garden,S,veggie,12.0,Thursday
121,121,2015-000048,2015-01-01,18:26:42,ckn_pesto,M,chicken,16.75,Thursday
122,122,2015-000049,2015-01-01,18:33:00,sicilian,L,supreme,20.25,Thursday
123,123,2015-000050,2015-01-01,18:41:01,the_greek,XL,classic,25.5,Thursday
124,124,2015-000051,2015-01-01,18:48:28,bbq_ckn,L,chicken,20.75,Thursday
125,125,2015-000051,2015-01-01,18:48:28,pep_msh_pep,L,classic,17.5,Thursday
126,126,2015-000052,2015-01-01,18:53:02,spicy_ital,L,supreme,20.75,Thursday
127,127,2015-000052,2015-01-01,18:53:02,mexicana,L,veggie,20.25,Thursday
128,128,2015-000052,2015-01-01,18:53:02,hawaiian,L,classic,16.5,Thursday
129,129,2015-000053,2015-01-01,18:54:17,pep_msh_pep,S,classic,11.0,Thursday
130,130,2015-000053,2015-01-01,18:54:17,spinach_supr,M,supreme,16.5,Thursday
131,131,2015-000054,2015-01-01,19:01:45,prsc_argla,M,supreme,16.5,Thursday
132,132,2015-000054,2015-01-01,19:01:45,thai_ckn,L,chicken,20.75,Thursday
133,133,2015-000055,2015-01-01,19:03:19,peppr_salami,S,supreme,12.5,Thursday
134,134,2015-000055,2015-01-01,19:03:19,spicy_ital,L,supreme,20.75,Thursday
135,135,2015-000056,2015-01-01,19:07:00,southw_ckn,M,chicken,16.75,Thursday
136,136,2015-000056,2015-01-01,19:07:00,classic_dlx,M,classic,16.0,Thursday
137,137,2015-000056,2015-01-01,19:07:00,mediterraneo,L,veggie,20.25,Thursday
138,138,2015-000057,2015-01-01,19:10:51,classic_dlx,M,classic,16.0,Thursday
139,139,2015-000058,2015-01-01,19:30:40,five_cheese,L,veggie,18.5,Thursday
140,140,2015-000058,2015-01-01,19:30:40,pepperoni,M,classic,12.5,Thursday
141,141,2015-000059,2015-01-01,19:40:08,pep_msh_pep,S,classic,11.0,Thursday
142,142,2015-000059,2015-01-01,19:40:08,pepperoni,L,classic,15.25,Thursday
143,143,2015-000059,2015-01-01,19:40:08,ital_veggie,S,veggie,12.75,Thursday
144,144,2015-000060,2015-01-01,20:05:16,ckn_pesto,L,chicken,20.75,Thursday
145,145,2015-000060,2015-01-01,20:05:16,four_cheese,M,veggie,14.75,Thursday
146,146,2015-000061,2015-01-01,20:08:43,ital_supr,L,supreme,20.75,Thursday
147,147,2015-000061,2015-01-01,20:08:43,bbq_ckn,M,chicken,16.75,Thursday
148,148,2015-000062,2015-01-01,20:50:16,spinach_supr,M,supreme,16.5,Thursday
149,149,2015-000062,2015-01-01,20:50:16,bbq_ckn,M,chicken,16.75,Thursday
150,150,2015-000063,2015-01-01,20:51:42,pep_msh_pep,M,classic,14.5,Thursday
151,151,2015-000064,2015-01-01,20:52:08,big_meat,S,classic,12.0,Thursday
152,152,2015-000065,2015-01-01,21:16:00,spinach_supr,M,supreme,16.5,Thursday
153,153,2015-000065,2015-01-01,21:16:00,pep_msh_pep,S,classic,11.0,Thursday
154,154,2015-000065,2015-01-01,21:16:00,sicilian,S,supreme,12.25,Thursday
155,155,2015-000065,2015-01-01,21:16:00,spicy_ital,S,supreme,12.5,Thursday
156,156,2015-000066,2015-01-01,21:47:55,classic_dlx,M,classic,16.0,Thursday
157,157,2015-000066,2015-01-01,21:47:55,ital_cpcllo,M,classic,16.0,Thursday
158,158,2015-000067,2015-01-01,22:03:40,southw_ckn,L,chicken,20.75,Thursday
